dataset,scenario,method,round,mean_oui,var_oui,beta_alpha,beta_beta,score_mode
cifar10,cifar10_dirichlet_0.1_extended,fedalign,2,0.1813151041666666,0.0022746960322062,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,3,0.1483723958333333,0.0033281962076822,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,4,0.2286783854166666,0.0037346998850504,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,5,0.2536458333333333,0.0130656321843465,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,6,0.2806315104166666,0.0044924020767211,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,7,0.2645833333333333,0.0153308232625325,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,8,0.1391276041666666,0.004219643274943,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,9,0.1533528645833333,0.005584692955017,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,10,0.2255533854166666,0.0061790784200032,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,11,0.2596354166666667,0.0104902426401774,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,12,0.2205403645833333,0.006004516283671,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,13,0.2793294270833333,0.0038153330485026,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,14,0.2902994791666666,0.0056331555048624,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,15,0.2296549479166666,0.0033279021581013,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,16,0.2524088541666666,0.0052936633427937,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,17,0.2194661458333333,0.0032421112060546,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,18,0.2017903645833333,0.0047680934270222,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,19,0.21181640625,0.0075105667114257,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,20,0.2497395833333333,0.0038975318272908,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,21,0.2483723958333333,0.0066385746002197,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,22,0.24716796875,0.0049925645192464,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,23,0.2290690104166666,0.0043554862340291,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,24,0.1978515625,0.007634154955546,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,25,0.2187825520833333,0.0087802410125732,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,26,0.2410156249999999,0.0079730113347371,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,27,0.2138020833333333,0.0037887732187906,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,28,0.2553385416666666,0.0079616943995157,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,29,0.2612955729166666,0.0028645912806193,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,30,0.2130533854166666,0.0078999757766723,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,31,0.23330078125,0.0071490128835042,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,32,0.2646158854166666,0.0047866582870483,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,33,0.2430338541666666,0.0046298265457153,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,34,0.2101888020833333,0.004604419072469,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,35,0.2062825520833333,0.0108317534128824,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,36,0.2251627604166667,0.0051624695460001,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,37,0.2645182291666667,0.0044615745544433,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,38,0.2467122395833333,0.0081289609273274,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,39,0.2545247395833333,0.0076555093129475,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,40,0.2569335937499999,0.0052442948023478,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,41,0.25576171875,0.0052167018254597,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,42,0.2659830729166667,0.0040759801864624,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,43,0.2406575520833333,0.0031757593154907,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,44,0.2379231770833333,0.0073931217193603,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,45,0.2387369791666667,0.0056938330332438,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,46,0.2601888020833333,0.0066231727600097,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,47,0.25341796875,0.0047797362009684,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,48,0.2867513020833333,0.0039323012034098,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,49,0.2816080729166666,0.0037305275599161,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,50,0.2649739583333333,0.0105480511983235,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,51,0.2449544270833333,0.0060197750727335,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,52,0.3245442708333333,0.0056677341461181,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,53,0.3000325520833333,0.0067180156707763,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,54,0.3357747395833333,0.0053732951482137,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,55,0.32763671875,0.0033212184906005,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,56,0.2613606770833333,0.0127591133117675,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,57,0.2845052083333333,0.0080193440119425,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,58,0.30810546875,0.0057053327560424,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,59,0.2764322916666666,0.0055460135142008,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedavg,0,0.1375651041666666,0.0118636131286621,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,1,0.1193033854166666,0.0010644276936848,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,2,0.1429361979166666,0.0015691598256429,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,3,0.1116536458333333,0.0020805120468139,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,4,0.1240559895833333,0.0008794625600179,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,5,0.1425130208333333,0.0007521311442057,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,6,0.1555013020833333,0.0022418896357218,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,7,0.1644205729166666,0.0045895338058471,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,8,0.18232421875,0.0037054777145385,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,9,0.1764322916666666,0.005937639872233,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,10,0.1421549479166666,0.0022916555404663,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,11,0.1828776041666666,0.0044609069824218,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,12,0.1841145833333333,0.0048074801762898,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,13,0.2122395833333333,0.002351951599121,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,14,0.1891276041666666,0.0028412183125813,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,15,0.1529947916666666,0.0037444273630778,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,16,0.1810546875,0.0066702286402384,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,17,0.1809570312499999,0.0062341133753458,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,18,0.19052734375,0.0055125474929809,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,19,0.2093098958333333,0.0114020744959513,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,20,0.2373046875,0.0051421403884887,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,21,0.23720703125,0.0056262413660685,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,22,0.1979166666666666,0.0080452919006347,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,23,0.2230794270833333,0.0097012917200724,,,
